load 2 P A,load 2 Q A,load2 P B,load 2 Q B,load 2 P C,load 2 Q C,load 1 P A,load 1 A,load 1 P B,load 1 Q B,load 1 P C,load 1 Q C,load 3 P,load 3 Q
0.0985,0.047705727,0.107165307,0.048216985,0.100177892,0.048043461,0.1385,0.067078612,0.139148228,0.068830222,0.142448669,0.070178414,0.1,0.04843221
0.0935,0.045284117,0.095903753,0.046561829,0.097270913,0.046676473,0.1535,0.074343443,0.160007554,0.076292639,0.166438427,0.07802346,0.1,0.04843221
0.0935,0.045284117,0.099169198,0.045663131,0.095283249,0.046912105,0.1535,0.074343443,0.160018416,0.07522769,0.161455732,0.078456584,0.12,0.058118653
0.0985,0.047705727,0.103736863,0.049578924,0.103255787,0.047932139,0.1585,0.076765054,0.164020884,0.080420298,0.170663378,0.082406628,0.1,0.04843221
0.0935,0.045284117,0.10121222,0.049235708,0.095970307,0.046017808,0.1485,0.071921833,0.148737207,0.075264612,0.151060353,0.077237954,0.1,0.04843221
0.0985,0.047705727,0.10618857,0.050021825,0.099504828,0.049384608,0.1485,0.071921833,0.155768292,0.07299938,0.162303719,0.074770441,0.12,0.058118653
0.0985,0.047705727,0.10708774,0.048904787,0.102280468,0.050045335,0.1435,0.069500222,0.149484695,0.07015665,0.155345973,0.071710859,0.1,0.04843221
0.0985,0.047705727,0.104387066,0.052212235,0.102303252,0.048447169,0.1535,0.074343443,0.15418581,0.074701178,0.16114352,0.077144814,0.1,0.04843221
0.0985,0.047705727,0.105340661,0.047826275,0.100562574,0.047783286,0.1535,0.074343443,0.154238764,0.077366037,0.158442561,0.080618382,0.1,0.04843221
0.0985,0.047705727,0.107196295,0.05102397,0.098874342,0.047956789,0.1435,0.069500222,0.146252075,0.069984142,0.148004122,0.073249269,0.1,0.04843221
0.0985,0.047705727,0.107402352,0.049112907,0.101806269,0.048155702,0.1435,0.069500222,0.148087953,0.071206378,0.149823374,0.074636142,0.1,0.04843221
0.0985,0.047705727,0.102799142,0.048103529,0.098732231,0.049387131,0.1535,0.074343443,0.154868297,0.07463508,0.159590519,0.077825558,0.12,0.058118653
0.0985,0.047705727,0.10335937,0.052133462,0.100850354,0.048944782,0.1485,0.071921833,0.154074251,0.072157642,0.15779991,0.075537526,0.1,0.04843221
0.0985,0.047705727,0.104868361,0.051604871,0.100673779,0.04985068,0.1535,0.074343443,0.156324498,0.076910817,0.156997604,0.077482714,0.1,0.04843221
0.0985,0.047705727,0.105349297,0.051880101,0.099565705,0.049131451,0.1485,0.071921833,0.15165125,0.073450633,0.157267791,0.074961682,0.1,0.04843221
0.0985,0.047705727,0.106566663,0.049076678,0.101301942,0.047794369,0.1485,0.071921833,0.154011698,0.073251453,0.160691156,0.074369648,0.1,0.04843221
